user_id,imei,houseid_seq,cateid_seq,localid_seq,xq_seq,price_seq,area_seq,diff_time_seq,weight_seq,masks_seq,timestamp_seq,action_weight_seq,staytime_seq
11,00ed8d7e830ec5594d781e759cb99081,"3829662182534145,4081169757121536,4167883311800324,4156568380288008,4167883311800324,4152211251534861,4166658583846925,4105900968352783,4167883311800324","11,11,11,11,11,11,12,12,11","6541,6541,413,32593,413,12535,32311,32866,413","0,0,0,0,0,103123494,103553556,100704693,0","2,1,1,1,1,2,2,2,1","1,1,1,2,1,1,5,5,1","1199320,1199093,1198444,1197394,1197387,1086960,756104,756067,574936","1.1301621489517873E-6,1.1301621489517873E-6,1.1301621489517873E-6,1.1301621489517873E-6,1.1301621489517873E-6,3.072087301107359E-6,1.6767506523323905E-4,1.6767506523323905E-4,0.0012363115783173872","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1753968069908,1753968297257,1753968945985,1753969995790,1753970003492,1754080430026,1754411286610,1754411322766,1754592453793","1,1,1,1,1,1,1,1,1","5928,11833,12420,6465,3797,6514,4007,9329,4997"
12,00f41f23f91f5d72380b4311680e62f2b2810014,,,,,,,,,,,,
13,010177a8bd6063cf9fd649fb15e038e0ca869e54,,,,,,,,,,,,
14,0105a1e6eed1418e1c33135db42c98f2,,,,,,,,,,,,
15,012a0d657217089f7826799d06425647,,,,,,,,,,,,
16,013309b51042592dc55cabeae61281f0b60a4422,"4164877889428491,4137994997522432,4115275473772545,4180627283143693,4180627283143693,4014730660241417","11,11,11,11,11,11","6690,12148,12148,12149,12149,12148","100433702,100426611,103970988,100424513,100424513,100422420","6,5,6,5,5,6","3,3,3,3,3,3","868009,814678,185093,184330,184327,184181","2.2698934351217197E-5,6.169728799311586E-5,0.05960146101105877,0.05960146101105877,0.11920292202211755,0.05960146101105877","1.0,1.0,1.0,1.0,1.0,1.0","1754304750888,1754358081581,1754987666767,1754988429714,1754988432282,1754988577902","1,1,1,1,2,1","8449,11389,4348,6184,6184,4548"
17,015db62a779f59f431f35bd53641949d18fb507c,"3993562548988935,3993562548988935,4126843242880014,4124957492125708,3993562548988935,3604506474258444,4126843242880014,4126843242880014","11,11,11,11,11,11,11,11","36291,36291,36291,36291,36291,31306,36291,36291","100306424,100306424,100306424,100306600,100306424,100327366,100306424,100306424","2,2,2,1,2,2,2,2","2,2,2,2,2,2,2,2","1273925,1273918,1260444,1258572,1258539,1162187,1090164,971494","4.1576401383206604E-7,8.315280276641321E-7,4.1576401383206604E-7,4.1576401383206604E-7,4.1576401383206604E-7,1.1301621489517873E-6,3.072087301107359E-6,8.35071092404759E-6","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1753851155248,1753851162110,1753864635744,1753866507929,1753866540668,1753962892784,1754034915784,1754153586157","1,2,1,1,1,1,1,1","6880,6880,11174,3699,11258,7688,39765,42415"
18,015dc0bad977da7f627c0557e4949e77d0716599,,,,,,,,,,,,
19,0176270b4fc88778781b84eca0ae164e,,,,,,,,,,,,
20,018eeb473104910da955cdd6aa52b052,,,,,,,,,,,,
21,01c695a95b8a9eb258c7102174073300,,,,,,,,,,,,
22,01d5d9aef6c055d61abfbd7da4b669fb,,,,,,,,,,,,
23,022a9cc7f19d82fcd91286bccc1838bd,,,,,,,,,,,,
24,022aa9c8307b5f06fc9992c201e54f4d6839f2ce,,,,,,,,,,,,
25,0249f26d8d44e476ba5f657f9d7c87fc8613aba3,"4097284047088650,4111315888939012,4179201036266501,4179109301365768,4172228480003078,4175261275286533,3973834463960066,4176576931507215,4142510971202568,4140779176324103,4160610253660161,4109980746783753,4160914945694731","11,11,11,11,11,11,11,11,11,11,11,11,11","18487,18487,18487,18487,18487,18487,11963,18487,18487,18487,11963,18487,18487","100595797,100596355,100595797,100595797,100595797,100595701,102035640,100595660,100596275,100596275,100595496,100596358,100596355","3,6,5,5,4,5,4,4,4,4,4,5,5","2,4,3,3,2,2,2,2,2,2,2,3,2","558478,558262,499381,499339,494697,494478,494216,494196,494062,494049,494025,493964,493771","0.0012363115783173872,0.0012363115783173872,0.0033464254621424277,0.0033464254621424277,0.0033464254621424277,0.0033464254621424277,0.0033464254621424277,0.0033464254621424277,0.0033464254621424277,0.0033464254621424277,0.0033464254621424277,0.0033464254621424277,0.0033464254621424277","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1754572909778,1754573125846,1754632006239,1754632048970,1754636691131,1754636910088,1754637172042,1754637191190,1754637325992,1754637338608,1754637362647,1754637423309,1754637616501","1,1,1,1,1,1,1,1,1,1,1,1,1","14407,8494,15681,18309,10543,30692,4051,19097,5239,17662,9014,7508,76547"
26,024a6d4d1c659754f9bc04c633a053795040f173,"2392624723303438,2392624723303438,4079688318737417,4079688318737417,4138944530456591,4176009133317128,4176009133317128","11,11,11,11,11,11,11","21562,21562,21557,21557,21549,21566,21566","100588449,100588449,100588220,100588220,100588166,103507923,103507923","4,4,4,4,4,4,4","2,2,3,3,3,2,2","148440,148405,148276,148247,148198,148083,148072","0.13447071068499755,0.2689414213699951,0.13447071068499755,0.2689414213699951,0.13447071068499755,0.13447071068499755,0.2689414213699951","1.0,1.0,1.0,1.0,1.0,1.0,1.0","1754990513117,1754990548189,1754990676653,1754990706359,1754990755219,1754990870400,1754990881033","1,2,1,2,1,1,2","35359,35359,30658,30658,21115,11297,11297"
27,02739190314ea0219e310083f2c7d419,"3117946705042434,4170731308851200,3835106003561477","11,12,11","33462,11935,16088","104041263,100698372,100386992","2,3,3","1,7,1","1207301,1207280,1207263","1.1301621489517873E-6,1.1301621489517873E-6,1.1301621489517873E-6","1.0,1.0,1.0","1753945108376,1753945129442,1753945146631","1,1,1","19941,13536,8759"
28,02aed19a7b447f3dc2630e0507a0e790,"4067325807337482,4170478000286734,4176477259062276,2592168010574862,4102502336125952,4102849793846277,4100132668055558,4138155967228931,4138155967228931,4174826055425037,4129454608083981,4183517921845263,4186461482884098,4186494921567245,4186490364895238,4185824974184454,3950340272450565,4171924481072133,4176208449970188,4176459865316367,4176470147406859,4182122367609867,4182141202407434,4175059279355912,4171830723910663,4135119819172869,4149265913588737,4149265913588737,4149265913588737,4171965153910784","11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11","25496,25496,25496,25496,25496,24784,24784,25496,25496,25496,25496,24784,24783,24780,24783,24785,24783,24783,24783,24780,24780,24780,24780,24783,24783,24783,25496,25496,25496,24783","100478810,100480545,100480545,100486206,100491712,100666160,100666160,100480545,100480545,100478810,100480545,100679922,100479784,100519256,100574835,100485694,100482574,100480579,100491706,100475273,100475273,100475273,100475273,100574864,100480579,100574864,100480545,100480545,100480545,100480579","3,4,4,4,4,3,3,4,4,4,5,3,4,3,6,4,3,4,3,4,4,4,4,5,4,5,4,4,4,4","2,2,2,2,2,1,1,3,3,3,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2","1184,1143,1124,1101,1092,1031,1013,856,847,829,818,786,773,757,690,667,647,353,323,298,287,257,247,239,209,173,151,114,102,20","0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1754917668299,1754917709062,1754917728201,1754917751110,1754917760136,1754917821212,1754917839662,1754917996333,1754918004939,1754918023270,1754918034715,1754918066071,1754918078762,1754918095620,1754918162546,1754918184825,1754918205283,1754918499560,1754918529728,1754918554566,1754918565707,1754918594962,1754918605101,1754918613263,1754918643117,1754918678806,1754918700912,1754918738364,1754918749874,1754918832195","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1","37993,10200,15185,6605,13756,10440,6705,6107,10820,6497,7913,6374,10810,11276,11937,5598,14937,25968,23106,7854,23595,6950,6339,24673,31784,4115,25455,13223,13223,13580"
29,02b577cb1701ceaf3c6e4d019e8bc26f,,,,,,,,,,,,
30,02cd8f9ecd10de7a355833c0fd8beff880acf38c,"4184856837414927,4183455331377163,4082754773445638,4186084662090767,4186639697174528,4186639697174528,4184747532016642,4184747532016642","11,11,12,12,12,12,12,12","11113,11125,11119,11125,11125,11125,11125,11125","100393470,100393271,100395437,100667303,100667303,100667303,100395930,100395930","4,4,2,2,2,2,2,2","2,1,5,5,5,5,7,7","267862,267657,267444,155766,155728,155719,155702,155695","0.02371293658878339,0.02371293658878339,0.02371293658878339,0.13447071068499755,0.13447071068499755,0.2689414213699951,0.13447071068499755,0.2689414213699951","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1754883218072,1754883423197,1754883636237,1754995314939,1754995352952,1754995361014,1754995378334,1754995385660","1,1,1,1,1,2,1,2","4667,19866,5727,3693,9631,9631,8101,8101"
31,02d21845170077bd71854df28095c216,,,,,,,,,,,,
32,030c85546b0b009ce9c463344b4d6db8,,,,,,,,,,,,
33,0361a9526f62667b56c2776409915102,"4037762576653315,4174811907959817,4145454812962821,4142296505969671,4184987573070853,4144296085659654,4097056926882825,4187916897049613,4085699453624328,4145095112318981","12,12,12,12,12,12,12,12,12,12","14680,14680,14680,14680,14680,14680,14680,14680,14680,14680","103010872,103030263,103030263,104057999,102020865,103010873,102020865,100631089,102031308,102020865","2,2,2,2,2,2,2,2,2,2","4,7,7,3,6,5,2,5,2,3","172462,172434,172417,172400,172315,172292,172261,172216,172155,172103","0.13447071068499755,0.13447071068499755,0.13447071068499755,0.13447071068499755,0.13447071068499755,0.13447071068499755,0.13447071068499755,0.13447071068499755,0.13447071068499755,0.13447071068499755","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1755002865538,1755002894324,1755002911423,1755002928437,1755003012688,1755003036324,1755003066993,1755003111744,1755003173147,1755003225478","1,1,1,1,1,1,1,1,1,1","25696,11919,7048,36869,19864,21456,25491,36022,21212,14037"
34,0372a0fed2e7fc99474a1b28e55e3e53d1c29dae,"4158294207193094,3061214886732801,4066914028182528,4166001656929293,3028543556673542,4034429945637898,4105649945582601,3028543556673542,3028543556673542,3028543556673542,3028543556673542,4026324990647302,4026324990647302,4180492118486026,3871734019206145,3871734019206145,4186501664386054,4186501664386054,3478828422274061,3478828422274061,3371013793963023,3371013793963023,2896626596912133,3919932514380803,3895790683774986,3895790683774986,4168504083210241,2128059536072704,2128059536072704","11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11","2866,2866,37304,37304,18172,18172,18172,18172,18172,18172,18172,18172,18172,37304,37304,37304,37304,37304,37304,37304,37304,37304,2866,2866,2866,2866,37304,2866,2866","100441666,100448244,102031490,102031490,100440935,100448245,100440935,100440935,100440935,100440935,100440935,100443824,100443824,104693918,100449296,100449296,102031490,102031490,0,0,100449296,100449296,100441519,100441526,100448092,100448092,100448839,100446398,100446398","3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3","2,1,2,2,2,7,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2","1215553,855074,853959,853946,853891,278139,277343,277135,277129,277070,277066,197126,197120,196387,196245,196241,196208,196200,196169,196159,196103,196090,193923,188760,188736,188722,188705,188663,188659","4.1576401383206604E-7,6.169728799311586E-5,6.169728799311586E-5,6.169728799311586E-5,6.169728799311586E-5,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.04742587317756678,0.02371293658878339,0.04742587317756678,0.05960146101105877,0.11920292202211755,0.05960146101105877,0.05960146101105877,0.11920292202211755,0.05960146101105877,0.11920292202211755,0.05960146101105877,0.11920292202211755,0.05960146101105877,0.11920292202211755,0.05960146101105877,0.05960146101105877,0.05960146101105877,0.11920292202211755,0.05960146101105877,0.05960146101105877,0.11920292202211755","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1753950288112,1754310766639,1754311881779,1754311895076,1754311949798,1754887702060,1754888497884,1754888705550,1754888711623,1754888771057,1754888774945,1754968714708,1754968720844,1754969453740,1754969595920,1754969599959,1754969632631,1754969640667,1754969671527,1754969681943,1754969738005,1754969750350,1754971917875,1754977080772,1754977105285,1754977119285,1754977135784,1754977178144,1754977182027","1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2","3968,7070,4527,8610,13711,24903,5101,6043,6043,4392,4392,7009,7009,34952,4468,4468,8410,8410,11090,11090,12054,12054,4505,3866,13970,13970,10818,4842,4842"
35,03740056fcc98470e84c8fd7d9e616e1,,,,,,,,,,,,
36,038249d8383fa78a63da6d6a61a21fac,,,,,,,,,,,,
37,038968013b852c92e0a1b30604f7e46b,"4140072579669005,4151210379963392,3563600713245700,4144958619918348,4116975631604748,4166130238496778,3779764373726216,4099972596886539,3761984203825161","11,11,11,11,11,11,11,11,11","33666,33665,33666,33666,33775,33774,33774,33774,33774","103096130,102099856,103237746,0,103390846,100477351,100477351,100479007,100479007","4,3,5,4,5,3,4,4,4","2,4,3,2,3,2,2,2,2","710676,709185,511736,456394,411406,264030,263909,263850,263837","1.6767506523323905E-4,1.6767506523323905E-4,0.0033464254621424277,0.0033464254621424277,0.00899310498104578,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1754439153141,1754440644048,1754638092613,1754693434895,1754738422598,1754885798956,1754885920002,1754885978606,1754885992002","1,1,1,1,1,1,1,1,1","60529,6855,4004,7130,5463,6017,4274,4943,4983"
38,03a8cc4d1c06da65ec8e0a7767f589dd,"4167744739187716,4070589167673357,4166195107569664,4169307470486541,4176161479683075,4175310772739076,4180374635683854,4179391002991627,4173652117482498,4128259799375877,4160916160651272,4154873459502080,4074216932191237,4173652117482498,4135035035312142,4150819967441933,4161962414841866,4176318653292544,4174971931536396,4181738721094668","11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11","12019,12019,8900,8900,12019,12019,12019,12019,12019,12019,12019,12019,12019,12019,12019,12019,12019,12019,12019,8900","100421057,100549973,103167621,103167621,100662491,100427195,100435872,100421057,100433598,100422598,100432974,100421057,100421057,100433598,100427200,100427200,100432974,100433598,100433598,103167621","3,3,3,3,3,4,3,2,2,2,2,3,3,2,2,2,2,2,2,3","2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1","271972,271950,271933,271910,271893,271872,271864,271843,271809,271799,271787,271773,271756,271727,271718,271677,271658,271613,271562,271543","0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339,0.02371293658878339","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","1754833634685,1754833656740,1754833673374,1754833696232,1754833713840,1754833734682,1754833743053,1754833763219,1754833797994,1754833807854,1754833819923,1754833833807,1754833851005,1754833879718,1754833888356,1754833929707,1754833948267,1754833993610,1754834045058,1754834064174","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","18242,13859,13410,5683,5957,5347,10503,31442,6922,5467,8628,13199,6693,5213,9796,10178,11546,14553,11073,8330"
39,03bf1db377af3633c696e505fbdb6efd,,,,,,,,,,,,
40,03d2b5269dd7cff6f3e96e5b7c8e34a3eca4bfd4,,,,,,,,,,,,
